id,lat,lon
GV0739,41.30521,-8.21199
GV0740,41.30535,-8.21151
GV0741,41.30522,-8.21158
GV0742,41.30344,-8.21203
GV0743,41.30338,-8.21205
GV0744,41.30305,-8.21222
GV0745,41.30354,-8.21205
GV0746,41.30357,-8.21208
GV0747,41.30481,-8.21392
GV0817,41.25515,-8.30203
GV0818,41.25432,-8.30256
GV0819,41.25428,-8.30258
GV0820,41.25427,-8.30278
GV0821,41.25418,-8.30286
GV0822,41.25413,-8.30286
GV0823,41.25357,-8.30283
GV0824,41.25358,-8.30292
GV0825,41.2534,-8.30275
GV0826,41.25331,-8.30275
GV0827,41.25321,-8.30281
GV0828,41.25367,-8.30271
GV0829,41.25213,-8.30359
GV0830,41.25199,-8.30359
GV0831,41.2519,-8.30358
GV0832,41.25176,-8.30294
GV0833,41.25086,-8.30194
GV0834,41.25114,-8.30191
GV0835,41.24993,-8.30195
GV0836,41.25175,-8.30258
GV0837,41.25174,-8.30262
GV0838,41.25181,-8.30276
GV0839,41.25197,-8.303
GV0840,41.25183,-8.30306
GV0841,41.25181,-8.30315
GV0842,41.25207,-8.30247
GV0843,41.25216,-8.30259
GV0844,41.25295,-8.30101
GV0845,41.25288,-8.30109
GV0846,41.25287,-8.30104
GV0847,41.25281,-8.30045
GV0848,41.25272,-8.30044
GV0849,41.25275,-8.30034
GV0850,41.25259,-8.29986
GV0851,41.25304,-8.29943
GV0852,41.2531,-8.29914
GV0853,41.25354,-8.29908
GV0854,41.25351,-8.29914
GV0855,41.25352,-8.29907
GV0856,41.25368,-8.2992
GV0857,41.2538,-8.29934
GV0858,41.25377,-8.29955
GV0859,41.2538,-8.29955
GV0860,41.25455,-8.29856
GV0861,41.25465,-8.2967
GV0862,41.25355,-8.29702
GV0863,41.25352,-8.29705
GV0864,41.25359,-8.29689
GV0865,41.25346,-8.29694
GV0866,41.25342,-8.29697
GV0867,41.25338,-8.29699
GV0868,41.25335,-8.29702
GV0869,41.25323,-8.29701
GV0870,41.25274,-8.29737
GV0871,41.26542,-8.26368
GV0872,41.26597,-8.26454
GV0873,41.26573,-8.26244
GV0874,41.26353,-8.26234
GV0875,41.26352,-8.26209
GV0900,41.29057,-8.20424
GV0901,41.28967,-8.20373
GV0902,41.28968,-8.2036
GV0903,41.28953,-8.20348
GV0904,41.28767,-8.20326
GV0905,41.28759,-8.20325
GV0906,41.28763,-8.2036
GV0907,41.28735,-8.20317
GV0908,41.28721,-8.20313
GV0909,41.28714,-8.20307
GV0910,41.28716,-8.20298
GV0911,41.28721,-8.20297
GV0912,41.28726,-8.20298
GV0913,41.28733,-8.203
GV0914,41.28725,-8.20145
GV0915,41.28728,-8.2015
GV0916,41.28731,-8.20153
GV0917,41.28739,-8.20159
GV0918,41.28752,-8.20168
GV0919,41.28756,-8.20172
GV0920,41.28759,-8.20175
GV0921,41.28535,-8.20062
GV0922,41.28506,-8.20148
GV0923,41.28554,-8.20326
GV0924,41.28558,-8.20338
GV0925,41.2856,-8.20333
GV0926,41.28539,-8.20389
GV0927,41.28533,-8.20392
GV0928,41.2853,-8.204
GV0929,41.28528,-8.20409
GV0930,41.28527,-8.2042
GV0931,41.28527,-8.20431
GV0932,41.28527,-8.20446
GV0933,41.28528,-8.20455
GV0934,41.28531,-8.20464
GV0935,41.28527,-8.20511
GV0936,41.28444,-8.21254
GV0937,41.28464,-8.21301
GV0938,41.28457,-8.21336
GV0939,41.28456,-8.21348
GV0940,41.2844,-8.21344
GV0941,41.28438,-8.21334
GV0942,41.28432,-8.21327
GV0943,41.28195,-8.21559
GV0944,41.28196,-8.21549
GV0945,41.28204,-8.21549
GV0946,41.28019,-8.21774
GV0947,41.28539,-8.24923
GV0948,41.28648,-8.24955
GV0949,41.2862,-8.25004
GV0950,41.28702,-8.24993
GV0951,41.28729,-8.24981
GV0952,41.28743,-8.24981
GV0953,41.28748,-8.24969
GV0954,41.28755,-8.24971
GV0955,41.28766,-8.24973
GV0956,41.28774,-8.24986
GV0957,41.28586,-8.24913
GV0966,41.28696,-8.23766
GV0967,41.2863,-8.23738
GV0968,41.2864,-8.2372
GV0973,41.27951,-8.24927
GV0983,41.27808,-8.25115
GV0984,41.27808,-8.25094
GV0985,41.27793,-8.25087
GV0986,41.27783,-8.25069
GV0987,41.27824,-8.25089
GV0988,41.2783,-8.2507
GV0989,41.278,-8.25022
GV0990,41.27724,-8.25043
GV0991,41.27972,-8.25207
GV0992,41.27949,-8.25308
GV0993,41.27913,-8.25304
GV0994,41.28647,-8.25762
GV0995,41.2866,-8.25737
GV0996,41.28689,-8.25663
GV0997,41.28691,-8.25674
GV0998,41.28676,-8.25684
GV0999,41.28674,-8.2569
GV1000,41.28672,-8.25696
GV1001,41.28716,-8.25675
GV1002,41.28695,-8.25665
GV1003,41.28715,-8.25693
GV1004,41.28726,-8.25693
GV1005,41.28727,-8.25713
GV1006,41.28733,-8.25701
GV1007,41.28747,-8.25714
GV1008,41.28734,-8.25695
GV1009,41.28737,-8.25688
GV1010,41.28742,-8.2569
GV1011,41.2873,-8.25683
GV1012,41.28727,-8.25679
GV1013,41.28779,-8.25682
GV1014,41.28745,-8.25679
GV1015,41.28713,-8.25713
GV1016,41.28706,-8.2571
GV1017,41.28705,-8.25705
GV1018,41.28703,-8.257
GV1019,41.28701,-8.25708
GV1020,41.28698,-8.25695
GV1021,41.28703,-8.25693
GV1022,41.28691,-8.25705
GV1023,41.28691,-8.25698
GV1024,41.28689,-8.25692
GV1025,41.28702,-8.25658
GV1026,41.25958,-8.22473
GV1027,41.25954,-8.22486
GV1028,41.25888,-8.22777
GV1029,41.25883,-8.22774
GV1030,41.25874,-8.22771
GV1031,41.25866,-8.22768
GV1032,41.25859,-8.22767
GV1033,41.25855,-8.22766
GV1034,41.25848,-8.22762
GV1035,41.25838,-8.22759
GV1036,41.2567,-8.22714
GV1048,41.25696,-8.29589
GV1049,41.25694,-8.2958
GV1050,41.25686,-8.29593
GV1051,41.25679,-8.29582
GV1052,41.25667,-8.29596
GV1053,41.25634,-8.29613
GV1054,41.25423,-8.29443
GV1055,41.25421,-8.29451
GV1056,41.25412,-8.29453
GV1057,41.25397,-8.29449
GV1058,41.25764,-8.28778
GV1059,41.25759,-8.28835
GV1060,41.26023,-8.25893
GV1061,41.26053,-8.25874
GV1062,41.26057,-8.25879
GV1063,41.26065,-8.25883
GV1064,41.26069,-8.25881
GV1065,41.26076,-8.25877
GV1066,41.26087,-8.25864
GV1067,41.26199,-8.257
GV1068,41.26188,-8.25703
GV1069,41.26186,-8.25703
GV1070,41.26168,-8.25708
GV1071,41.26027,-8.2581
GV1072,41.26021,-8.25747
GV1073,41.26025,-8.25707
GV1074,41.2604,-8.2571
GV1075,41.26026,-8.25697
GV1076,41.26027,-8.25689
GV1077,41.26029,-8.25674
GV1078,41.25813,-8.25768
GV1079,41.25808,-8.25761
GV1080,41.25804,-8.25754
GV1081,41.258,-8.25746
GV1082,41.25798,-8.25742
GV1083,41.25807,-8.25736
